题号,题目,A,B,C,D,解答
1,世界上陆地面积最大的国家是？,中国,美国,俄罗斯,加拿大,C
2,人体最大的器官是？,心脏,大脑,肝脏,皮肤,D
3,太阳系中体积最大的行星是？,地球,木星,火星,土星,B
4,中国的“母亲河”通常是指？,长江,黄河,珠江,黑龙江,B
5,标准大气压下，水的沸点是多少度？,90℃,100℃,120℃,80℃,B
6,被称为“万园之园”的中国古典园林是？,颐和园,避暑山庄,拙政园,圆明园,D
7,光的三原色是哪三种颜色？,红、黄、蓝,红、绿、蓝,黄、绿、蓝,红、白、蓝,B
8,地球自转一周大约需要多长时间？,12小时,24小时,30天,365天,B
9,古代“丝绸之路”的起点是？,洛阳,北京,长安（西安）,南京,C
10,植物进行光合作用，主要吸收什么气体？,氧气,二氧化碳,氮气,一氧化碳,B
11,世界上最高的山峰是？,乔戈里峰,乞力马扎罗山,富士山,珠穆朗玛峰,D
12,人的正常体温大约是多少度？,35℃,37℃,39℃,36℃,B
13,《西游记》的作者是？,吴承恩,罗贯中,施耐庵,曹雪芹,A
14,举头望明月，低头思故乡出自哪位诗人之手？,杜甫,白居易,李白,苏轼,C
15,空气中含量最多的气体是？,氧气,二氧化碳,氮气,氢气,C
16,中国传统的二十四节气中，春季的第一个节气是？,惊蛰,立春,雨水,春分,B
17,被称为“诗圣”的唐代诗人是？,李白,杜甫,王维,杜牧,B
18,下列哪个选项不属于可再生能源？,太阳能,风能,水能,煤炭,D
19,奥运会五环标志中的黄色代表哪个大洲？,亚洲,欧洲,非洲,美洲,A
20,企鹅主要生活在地球的哪个地方？,北极,南极,赤道,澳洲,B
